,developer,name,platforms,publisher,release,reviewed,score
646,Daedalic Entertainment,The Night of the Rabbit,"Mac, Win",Daedalic Entertainment,2013-05-29,2013-05-28,8
647,Insomniac Games,Fuse,"360, PS3",Electronic Arts,2013-05-28,2013-05-28,6.5
648,Capcom,Resident Evil: Revelations,"360, 3DS, PS3, Wii U, Win",Capcom,2013-05-21,2013-05-24,7.5
649,Access Games,Deadly Premonition: The Director's Cut,"PS3, Win",Rising Star Games,2013-04-30,2013-05-20,6.5
650,Retro Studios,Donkey Kong Country Returns,"3DS, Wii",Nintendo,2010-11-21,2013-05-17,9
651,Nintendo,Pandora's Tower,Wii,Xseed Games,2013-04-16,2013-05-16,5.5
652,4A Games,Metro: Last Light,"360, Linux, Mac, PS3, Win",Deep Silver,2013-05-14,2013-05-13,8.5
653,Nintendo Software Technology,Mario and Donkey Kong: Minis on the Move,3DS eShop,Nintendo,2013-05-09,2013-05-08,9
654,Zero Sum Games,StarDrive,Win,Iceberg Interactive,2013-04-26,2013-05-07,4
655,Minority Media,Papo & Yo,"PSN, Win",Sony Computer Entertainment,2012-08-14,2012-08-15,6.5
656,Telltale Games,Poker Night 2,"Mac, PSN, Win, XBLA, iOS",Telltale Games,2013-04-24,2013-05-02,6.5
657,Mike Bithell,Thomas Was Alone,"Linux, Mac, PSN, Win",Curve Studios,2013-04-23,2013-05-01,8.5
658,Ubisoft Montreal,Far Cry 3: Blood Dragon,"360, PSN, Win",Ubisoft,2013-05-01,2013-04-30,8
659,Marvelous AQL,Soul Sacrifice,PS Vita,Sony Computer Entertainment,2013-04-30,2013-04-30,6.5
660,Trion Worlds,Defiance,"360, PS3, Win",Syfy Games,2013-04-02,2013-04-16,6.5
661,Digital Extremes,Star Trek,"360, PS3, Win",Namco Bandai,2013-04-23,2013-04-25,3
662,Pocketwatch Games,Monaco: What's Yours is Mine,"Linux, Mac, Win, XBLA",Pocketwatch Games,2013-04-24,2013-04-24,7
663,Capcom,Dragon's Dogma: Dark Arisen,"360, PS3",Capcom,2013-04-23,2013-04-23,5
664,Techland,Dead Island: Riptide,"360, PS3, Win",Deep Silver,2013-04-23,2013-04-22,5.5
665,Re-Logic,Terraria,"360, Android, PS Vita, PS3, PS4, Win, Windows RT, XBLA, Xbox One, iOS",Re-Logic,2011-05-16,2013-04-18,6.5
666,Atlus,Shin Megami Tensei: Devil Summoner Soul Hackers,3DS,Atlus,2013-04-16,2013-04-16,7.5
667,Enigma Software,Alien Spidy,"360, Mac, PS Vita, Win",Kalypso Media,2013-03-20,2013-04-10,6
668,CI Games,Sniper: Ghost Warrior 2,"360, PS3, Win",CI Games,2013-03-12,2013-04-04,5
669,The Behemoth,BattleBlock Theater,"360, Linux, Win",Microsoft Studios,2013-04-03,2013-04-03,8.5
670,Visceral Games,Army of Two: The Devil's Cartel,"360, PS3",Electronic Arts,2013-03-26,2013-04-03,5
671,Maxis,SimCity (2013),"Mac, Win",Electronic Arts,2013-03-05,2013-03-04,6.5
672,Irrational Games,BioShock Infinite,"360, Mac, PS3, Win",2K Games,2013-03-26,2013-03-25,10
673,Next Level Games,Luigi's Mansion: Dark Moon,3DS,Nintendo,2013-03-24,2013-03-21,7
674,Capcom,Monster Hunter 3 Ultimate,"3DS, Wii U",Capcom,2013-03-19,2013-03-20,7.5
675,Terminal Reality,The Walking Dead: Survival Instinct,"360, PS3, Wii U, Win",Activision,2013-03-19,2013-03-19,3
676,People Can Fly,Gears of War: Judgment,360,Microsoft Game Studios,2013-03-19,2013-03-18,8
677,Analgesic Productions,Anodyne,"Linux, Mac, Win",Analgesic Productions,2013-02-04,2013-03-18,8
678,SCE San Diego Studio,MLB 13 The Show,"PS Vita, PS3",Sony Computer Entertainment,2013-03-05,2013-03-15,8.5
679,Atlus,Etrian Odyssey 4: Legends of the Titan,3DS,Atlus,2013-02-26,2013-03-15,7.5
680,TT Fusion,Lego City Undercover,"Nintendo Switch, Wii U",Nintendo,2013-03-18,2013-03-14,7
681,MercurySteam Entertainment,Castlevania: Lords of Shadow - Mirror of Fate,"360, 3DS, PS3, Win",Konami,2013-03-05,2013-03-13,5
682,SCE Santa Monica Studio,God of War: Ascension,PS3,Sony Computer Entertainment,2013-03-12,2013-03-07,7
683,Gaijin Games,Bit.Trip Presents Runner 2: Future Legend of Rhythm Alien,"360, Linux, Mac, PS3, Wii U eShop, Win",Gaijin Games,2013-02-26,2013-02-28,8.5
684,Tecmo Koei Games,Fist of the North Star: Ken's Rage 2,"360, PSN, Wii U eShop",Tecmo Koei Games,2013-02-05,2013-02-27,5
685,Crystal Dynamics,Tomb Raider (2013),"360, Mac, PS3, PS4, Win, Xbox One",Square Enix,2013-03-05,2013-02-25,9
686,Crytek,Crysis 3,"360, PS3, Win",Electronic Arts,2013-02-19,2013-02-19,7
687,PlatinumGames,Metal Gear Rising: Revengeance,"360, PS3, Win",Konami,2013-02-19,2013-02-19,9
688,FuRyu,Unchained Blades,"3DS, PSN",Xseed Games,2013-01-03,2013-02-15,6
689,Gearbox Software,Aliens: Colonial Marines,"360, PS3, Win",Sega,2013-02-12,2013-02-12,3
690,Visceral Games,Dead Space 3,"360, PS3, Win",Electronic Arts,2013-02-05,2013-02-05,9.5
691,Sanzaru Games,Sly Cooper: Thieves in Time,"PS Vita, PS3",Sony Computer Entertainment,2013-02-05,2013-02-05,6
692,Born Ready Games,Strike Suit Zero,Win,Born Ready Games,2013-01-24,2013-02-01,6.5
693,Alexander Bruce,Antichamber,"Linux, Mac, Win",Demruth,2013-01-31,2013-01-31,9
694,Intelligent Systems,Fire Emblem: Awakening,3DS,Nintendo,2013-02-04,2013-01-30,8.5
695,17-Bit,Skulls of the Shogun,"Win, Windows Phone, Windows RT, XBLA, iOS",Microsoft Studios,2013-01-30,2013-01-30,8
696,United Front Games,LittleBigPlanet Karting,PS3,Sony Computer Entertainment,2012-11-06,2013-01-25,7
697,Sandlot,Earth Defense Force 2017,"360, PS Vita",D3 Publisher,2013-01-08,2013-01-24,7
698,Level-5,Ni no Kuni: Wrath of the White Witch,PS3,Namco Bandai,2013-01-22,2013-01-24,6.5
699,Double Fine Productions,The Cave,"360, Android, Linux, Mac, PS3, Wii U, Win, iOS",Sega,2013-01-23,2013-01-22,6
700,PlatinumGames,Anarchy Reigns,"360, PS3",Sega,2013-01-08,2013-01-14,7
701,Ninja Theory Limited,DmC: Devil May Cry,"360, PS3, PS4, Win, Xbox One",Capcom,2013-01-15,2013-01-14,8
702,nStigate Games,Call of Duty: Black Ops Declassified,PS Vita,Activision,2012-11-13,2013-01-09,2
703,Grasshopper Manufacture,Black Knight Sword,"360, PSN",Reverb Communications,2012-12-12,2013-01-08,6
704,Heavy Iron Studios,Family Guy: Back to the Multiverse,"360, PS3",Activision,2012-11-20,2013-01-02,3
705,Agatsuma Entertainment,Code of Princess,3DS,Atlus,2012-10-09,2012-12-19,3
706,Namco Bandai,Tank! Tank! Tank!,Wii U,Namco Bandai,2012-11-18,2012-12-18,3.5
707,WayForward Technologies,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!,"3DS, DS",D3 Publisher,2012-11-20,2012-12-14,6
708,Atlus,Persona 4: Golden,PS Vita,Atlus,2012-11-20,2012-12-11,10
709,Insomniac Games,Ratchet and Clank: Full Frontal Assault,"PS Vita, PS3",Sony Computer Entertainment,2012-11-27,2012-12-04,6
710,Sumo Digital,Sonic & All-Stars Racing Transformed,"360, 3DS, Android, PS Vita, PS3, Wii U, Win, iOS",Sega,2012-11-14,2012-12-04,8.5
711,Traveller's Tales,Lego: the Lord of the Rings,"360, 3DS, DS, PS Vita, PS3, Wii, Win",Warner Bros. Interactive Entertainment,2012-10-30,2012-11-30,8
712,WayForward Technologies,Silent Hill: Book of Memories,PS Vita,Konami Digital Entertainment,2012-10-16,2012-11-23,4
713,5th Cell Media,Scribblenauts Unlimited,"3DS, Wii U, Win",Warner Bros. Games,2012-11-13,2012-11-22,6
