,developer,name,platforms,publisher,release,reviewed,score
252,Intelligent Systems,Fire Emblem Fates,3DS,Nintendo,2016-02-19,2016-02-17,8.5
253,Oxeye Game Studio,Cobalt,"360, Mac, Win, Xbox One",Mojang,,2016-02-15,7
254,TT Games,Lego Marvel's Avengers,"360, 3DS, PS Vita, PS3, PS4, Wii U, Win, Xbox One",Warner Bros. Interactive Entertainment,2016-01-26,2016-02-11,5.5
255,Campo Santo,Firewatch,"Linux, Mac, PS4, Win, Xbox One",Campo Santo,2016-02-09,2016-02-08,8.5
256,Coldwood Interactive,Unravel,"PS4, Win, Xbox One",Electronic Arts,2016-02-09,2016-02-08,6
257,SCS Software,American Truck Simulator,Win,SCS Software,2016-02-02,2016-02-04,8
258,Blackbird Interactive,Homeworld: Deserts of Kharak,Win,Gearbox Software,2016-01-20,2016-02-03,7
259,,Final Fantasy Explorers,3DS,Square Enix,2016-01-26,2016-01-26,8
260,Thekla Inc.,The Witness,"Mac, PS4, Win, Xbox One",Thekla Inc.,2016-01-26,2016-01-25,8
261,AlphaDream,Mario & Luigi: Paper Jam,3DS,Nintendo,2016-01-22,2016-01-22,6.5
262,Capcom Production Studio 3,Resident Evil 0,"360, GameCube, PS3, PS4, Win, Xbox One",Capcom,2002-11-12,2016-01-19,7
263,The Odd Gentlemen,King's Quest: Rubble Without a Cause,"360, PS3, PS4, Win, Xbox One",Sierra,2015-12-16,2016-01-15,5
264,Night School Studio,Oxenfree,"Mac, Win, Xbox One",Night School Studio,2015-01-15,2016-01-15,7
265,Capcom,Dragon's Dogma,"360, PS3, Win",Capcom,2012-05-22,2012-05-20,7
266,Bethesda Game Studios,Fallout 4,"PS4, Win, Xbox One",Bethesda Softworks,2015-11-10,2015-11-09,9.5
267,Ubisoft Montreal,Tom Clancy's Rainbow Six Siege,"PS4, Win, Xbox One",Ubisoft,2015-12-01,2015-12-10,6
268,Kojima Productions,Metal Gear Solid 5: The Phantom Pain,"360, PS3, PS4, Win, Xbox One",Konami,2015-09-01,2015-08-27,9
269,Avalanche Studios,Just Cause 3,"PS4, Win, Xbox One",Square Enix,2015-12-01,2015-11-30,8.5
270,Monolith Software,Xenoblade Chronicles X,Wii U,Nintendo,2015-12-04,2015-11-30,7
271,343 Industries,Halo 5: Guardians,Xbox One,Microsoft Studios,2015-10-27,2015-10-26,9
272,Digital Illusions CE,Star Wars Battlefront,"PS4, Win, Xbox One",Electronic Arts,2015-11-17,2015-11-16,8
273,Treyarch,Call of Duty: Black Ops 3,"360, PS3, PS4, Win, Xbox One",Activision,2015-11-06,2015-11-06,7
274,Crystal Dynamics,Rise of the Tomb Raider,"360, PS4, Win, Xbox One",Microsoft Studios,2015-11-10,2015-11-09,8.5
275,Level-5,Yo-kai Watch,3DS,Nintendo,2015-11-06,2015-11-04,7.5
276,Avalanche Software,Disney Infinity 3.0,"360, Android, PS3, PS4, Wii U, Win, Xbox One, iOS",Disney Interactive,2015-08-30,2015-08-28,8
277,Ubisoft Quebec,Assassin's Creed Syndicate,"PS4, Win, Xbox One",Ubisoft,2015-10-23,2015-10-22,8.5
278,Dontnod Entertainment,Life is Strange: Episode Five - Polarized,"360, PS3, PS4, Win, Xbox One",Square Enix,2015-10-20,2015-10-21,6.5
279,FreeStyleGames,Guitar Hero Live,"360, PS3, PS4, Wii U, Xbox One",Activision,2015-10-20,2015-10-20,9
280,Telltale Games,Minecraft: Story Mode - Episode 1: The Order of the Stone,"360, Android, Mac, PS Vita, PS3, PS4, Wii U, Win, Xbox One, iOS",Telltale Games,2015-10-13,2015-10-13,8
281,Harmonix Music Systems,Rock Band 4,"PS4, Xbox One",Performance Designed Products,2015-10-06,2015-10-09,7.5
282,Omega Force,Dragon Quest Heroes,"PS4, Win",Square Enix,2015-10-13,2015-10-08,8
283,PlatinumGames,Transformers: Devastation,"360, PS3, PS4, Win, Xbox One",Activision,2015-10-06,2015-10-08,6.5
284,Bungie,Destiny: The Taken King,"360, PS3, PS4, Xbox One",Activision,2015-09-15,2015-09-28,8.5
285,TT Games,Lego Dimensions,"360, PS3, PS4, Wii U, Xbox One",Warner Bros. Interactive Entertainment,2015-09-27,2015-09-28,8
286,Nintendo EAD Group No. 2,Animal Crossing: Happy Home Designer,3DS,Nintendo,2015-09-25,2015-09-22,6
287,EA Canada,NHL 16,"PS4, Xbox One",EA Sports,2015-09-15,2015-09-22,7.5
288,P Studio,Persona 4: Dancing All Night,PS Vita,Atlus,2015-09-29,2015-09-22,8.5
289,EA Canada,FIFA 16,"360, PS3, PS4, Win, Xbox One",EA Sports,2015-09-22,2015-09-22,9
290,Frictional Games,Soma,"Mac, PS4, Win",,2015-09-22,2015-09-21,9
291,Vicarious Visions,Skylanders Superchargers,"360, 3DS, PS3, PS4, Wii, Wii U, Xbox One",Activision,2015-09-20,2015-09-20,8.5
292,Bungie,Destiny,"360, PS3, PS4, Xbox One",Activision,,2014-09-12,7
293,Asteroid Base,Lovers in a Dangerous Spacetime,"Mac, Win, Xbox One",,,2015-09-11,8
294,Avalanche Studios,Mad Max,"PS4, Win, Xbox One",Warner Bros. Interactive Entertainment,2015-09-01,2015-08-31,5.5
295,Turn 10 Studios,Forza Motorsport 6,Xbox One,Microsoft Studios,2015-09-15,2015-09-08,8
296,Nintendo EAD Group No. 4,Super Mario Maker,Wii U,Nintendo,2015-09-11,2015-09-02,9.5
297,EA Tiburon,Madden NFL 16,"360, PS3, PS4, Xbox One",Electronic Arts,2015-08-25,2015-08-25,9
298,Supermassive Games,Until Dawn,PS4,Sony Computer Entertainment,2015-08-25,2015-08-24,6.5
299,The Coalition,Gears of War: Ultimate Edition,Xbox One,Microsoft Studios,2015-08-25,2015-08-24,8
300,Daybreak Game Company,PlanetSide 2,"PS4, Win",Daybreak Game Company,2012-11-20,2012-12-14,7.5
301,Mike Bithell,Volume,"Mac, PS Vita, PS4, Win",,,2015-08-18,9
302,Atlus,Etrian Odyssey 2 Untold: The Fafnir Knight,3DS,Atlus,2015-08-04,2015-08-13,8.5
303,Dontnod Entertainment,Life is Strange: Episode Four - Dark Room,"360, PS3, PS4, Win, Xbox One",Square Enix,2015-07-28,2015-08-13,6.5
304,The Chinese Room,Everybody's Gone to the Rapture,PS4,Sony,2015-08-10,2015-08-10,7
305,Bits & Beasts,Feist,"Linux, Mac, Win",Finji,2015-07-23,2015-08-11,6
306,Pneuma Films,Contradiction,"Mac, Win",,2015-07-10,2015-08-05,8
307,17-Bit,Galak-Z: The Dimensional,"PS4, Win",17-Bit,2015-08-04,2015-08-05,9
308,,Rare Replay,Xbox One,Microsoft,2015-08-04,2015-08-03,8
309,The Odd Gentlemen,King's Quest: A Knight to Remember,"360, PS3, PS4, Win, Xbox One",Sierra,2015-07-28,2015-07-28,6.5
310,Psyonix,Rocket League,"Nintendo Switch, PS4, Win, Xbox One",Psyonix,2015-07-08,2015-07-27,9
311,Lancarse,Lost Dimension,,Atlus,2015-07-28,2015-07-27,7.5
312,Telltale Games,Game of Thrones: A Telltale Games Series - Episode 5: A Nest of Vipers,"360, Android, Mac, PS3, PS4, Win, Xbox One, iOS",Telltale Games,2015-07-21,2015-07-21,7
313,Game Freak,Tembo the Badass Elephant,"PS4, Win, Xbox One",Sega,,2015-07-20,8
314,ZeniMax Online Studios,The Elder Scrolls Online,"Mac, PS4, Win, Xbox One",Bethesda Softworks,2014-04-04,2014-04-24,6
315,Red Thread Games,Dreamfall Chapters: Book Three: Realms,"Mac, Win",,,2015-07-14,8.5
316,Nintendo EAD Group No. 2,Splatoon,Wii U,Nintendo,2015-05-29,2015-05-27,8.5
317,IMGN.Pro,Kholat,Win,IMGN.Pro,2015-06-09,2015-06-23,6
318,CD Projekt Red,The Witcher 3: Wild Hunt,"PS4, Win, Xbox One",,2015-05-19,2015-05-13,8
319,,Her Story,"Mac, Win",,2015-06-24,2015-06-22,8.5
320,Rocksteady Studios,Batman: Arkham Knight,"PS4, Win, Xbox One",Warner Bros. Interactive Entertainment,2015-06-23,2015-06-19,10
321,Telltale Games,Game of Thrones: A Telltale Games Series - Episode 4: Sons of Winter,"360, Android, Mac, PS3, PS4, Win, Xbox One, iOS",Telltale Games,2015-05-26,2015-06-05,8
322,Blizzard Entertainment,Heroes of the Storm,"Mac, Win",Blizzard Entertainment,2015-06-02,2015-06-02,7.5
323,,Life is Strange: Episode Three - Chaos Theory,,,,2015-06-01,6.5
324,Bungie,Destiny: House of Wolves,"360, PS3, PS4, Xbox One",Activision,2015-05-19,2015-05-29,7
325,Sony Online Entertainment,H1Z1,"PS4, Win",Sony Online Entertainment,,2015-02-24,6.5
326,Behold Studios,Chroma Squad,"Android, Linux, Mac, Win, iOS",Behold Studios,,2015-05-19,7.5
327,Roll7,Not a Hero,"Linux, Mac, PS Vita, PS4, Win",Devolver Digital,2015-05-07,2015-05-15,6.5
328,MachineGames,Wolfenstein: The Old Blood,"PS4, Win, Xbox One",Bethesda Softworks,2015-05-05,2015-05-06,7
329,Ubisoft,Assassin's Creed Chronicles: China,"PS4, Win, Xbox One",Ubisoft,2015-04-21,2015-05-05,7.5
330,NetherRealm Studios,Mortal Kombat X,"PS4, Win, Xbox One",Warner Bros. Interactive Entertainment,2015-04-14,2015-04-13,8.5
331,Double Fine Productions,Broken Age,"Android, Linux, Mac, Ouya, PS Vita, PS4, Win, iOS",Double Fine Productions,2014-01-28,2014-01-15,8
332,Evolution Studios,DriveClub,PS4,Sony Computer Entertainment,2014-10-07,2014-10-07,7.5
333,Undead Labs,State of Decay,"360, Win, Xbox One",Microsoft Studios,2013-06-05,2013-06-05,8.5
334,Firaxis Games,Sid Meier's Starships,"Mac, Win, iOS",2K Games,2015-01-01,2015-04-17,6.5
335,FromSoftware,Dark Souls 2,"360, PS3, PS4, Win, Xbox One",Namco Bandai,2014-03-11,2014-03-11,9
336,Monolith Software,Xenoblade Chronicles,"New Nintendo 3DS, Wii",Nintendo,2012-05-06,2015-04-14,8
337,SCE San Diego Studio,MLB 15 The Show,"PS Vita, PS3, PS4",Sony Computer Entertainment,2015-03-31,2015-04-13,9
338,Intelligent Systems,Code Name: STEAM,3DS,Nintendo,2015-03-13,2015-03-13,6
339,Acid Nerve,Titan Souls,"Linux, Mac, PS Vita, PS4, Win",Devolver Digital,2015-01-01,2015-04-13,6.5
340,Telltale Games,Game of Thrones: A Telltale Games Series - Episode 3: The Sword in the Darkness,"360, Android, Mac, PS3, PS4, Win, Xbox One, iOS",Telltale Games,,2015-04-09,7.5
341,Nintendo,Mario Party 10,Wii U,Nintendo,2015-03-20,2015-04-07,6.5
342,Visceral Games,Battlefield Hardline,"360, PS3, PS4, Win, Xbox One",Electronic Arts,2015-03-17,2015-03-17,7
343,Thomas Happ Games,Axiom Verge,"PS Vita, PS4",Thomas Happ Games,2015-03-31,2015-04-01,7
344,FromSoftware,Bloodborne,PS4,Sony Computer Entertainment,2015-03-24,2015-03-27,9
345,Camouflaj,Republique Episode 3: Ones and Zeroes,"Android, Mac, Win, iOS",Camouflaj,2015-02-26,2015-03-27,8.5
346,Red Thread Games,Dreamfall Chapters: Book Two: Rebels,"Linux, Mac, Win",Red Thread Games,2015-03-12,2015-03-26,6.5
347,Dontnod Entertainment,Life is Strange: Episode Two - Out of Time,,Square Enix,2015-03-24,2015-03-25,8.5
348,Capcom,Resident Evil Revelations 2,"360, PS3, PS4, Win, Xbox One",Capcom,2015-03-18,2015-03-25,8
349,Roll7,OlliOlli 2: Welcome to Olliwood,"PS Vita, PS4",Roll7,2015-03-03,2015-03-18,9
350,Telltale Games,Tales from the Borderlands: Episode 2,"360, Android, Mac, PS3, PS4, Win, Xbox One, iOS",Telltale Games,2015-03-17,2015-03-17,8.5
351,Square Enix Product Development Division 1,Final Fantasy Type-0 HD,"PS4, Xbox One",Square Enix,2015-03-17,2015-03-16,8
352,Dennaton Games,Hotline Miami 2: Wrong Number,"PS Vita, PS4, Win",Devolver Digital,2015-03-10,2015-03-10,8.5
353,Moon Studios,Ori and the Blind Forest,"Win, Xbox One",Microsoft Studios,2015-03-11,2015-03-09,9
354,Frontier Developments,ScreamRide,"360, Xbox One",Microsoft Studios,2015-03-03,2015-03-03,8
355,Ready At Dawn Studios,The Order: 1886,PS4,Sony Computer Entertainment,2015-02-20,2015-02-19,5.5
356,HAL Laboratory,Kirby and the Rainbow Curse,Wii U,Nintendo,2015-02-20,2015-02-18,8.5
357,Eden Industries,Citizens of Earth,"3DS, PS Vita, PS4, Wii U, Win",Atlus,2015-01-20,2015-02-17,8
358,Turtle Rock Studios,Evolve,"PS4, Win, Xbox One",2K Games,2015-02-10,2015-02-09,8
359,The Creative Assembly,Total War: Attila,"Mac, Win",Sega,2015-02-17,2015-02-12,8
360,Capcom,Monster Hunter 4 Ultimate,3DS,Capcom,2015-02-13,2015-02-10,8.5
361,Nintendo Entertainment Analysis and Development,The Legend of Zelda: Majora's Mask,"3DS, N64, Virtual Console",Nintendo,2000-10-26,2015-02-04,9
362,Techland,Dying Light,"PS4, Win, Xbox One",Warner Bros. Interactive Entertainment,1905-07-06,2015-02-03,6.5
363,Telltale Games,Game of Thrones: A Telltale Games Series - Episode 2: The Lost Lords,"360, Android, Mac, PS3, PS4, Win, Xbox One, iOS",Telltale Games,2015-02-03,2015-02-03,7
364,Other Ocean Interactive,IDARB,Xbox One,Other Ocean Interactive,2015-01-30,2015-02-02,8.5
365,Dontnod Entertainment,Life is Strange: Episode One - Chrysalis,"360, PS3, PS4, Win, Xbox One",Square Enix,2015-01-30,2015-01-29,8
366,Double Fine Productions,Grim Fandango Remastered,"Linux, Mac, PS Vita, PS4, Win",Double Fine Productions,2015-01-27,2015-01-27,7
367,Volition,Saints Row: Gat Out of Hell,"PS4, Win, Xbox One",Deep Silver,2015-01-20,2015-01-20,6
368,Capcom,Resident Evil (2015),"360, PS3, PS4, Win, Xbox One",Capcom,2015-01-20,2015-01-19,7
369,Metalhead Software,Super Mega Baseball,"PS3, PS4",Metalhead Software,2014-12-16,2015-01-06,9
370,Croteam,The Talos Principle,"Linux, Mac, Win",Devolver Digital,2014-12-11,2014-12-17,8.5
371,Bungie,Destiny: The Dark Below,"360, PS3, PS4, Xbox One",Activision,2014-12-09,2014-12-12,5
372,Ivory Tower,The Crew,"360, PS4, Win, Xbox One",Ubisoft,2014-11-11,2014-12-10,4.5
373,Crystal Dynamics,Lara Croft and the Temple of Osiris,"PS4, Win, Xbox One",Square Enix,,2014-12-08,7.5
374,PES Productions,Pro Evolution Soccer 2015,"360, PS3, PS4, Win, Xbox One",Konami,,2014-12-08,8
375,Yuke's,WWE 2K15,"360, PS3, PS4, Win, Xbox One",2K Sports,2014-11-18,2014-12-03,5.5
376,Telltale Games,Game of Thrones: A Telltale Games Series - Episode 1: Iron from Ice,"360, Android, Mac, PS3, PS4, Win, Xbox One, iOS",Telltale Games,2014-12-02,2014-12-02,6.5
377,Nintendo Tokyo Software Development Group No. 2,Captain Toad: Treasure Tracker,Wii U,Nintendo,2014-12-05,2014-12-01,8.5
378,Brownie Brown,Fantasy Life,3DS,Level-5,2014-10-24,2014-11-28,5.5
379,Blizzard Entertainment,World of Warcraft: Warlords of Draenor,"Mac, Win",Blizzard Entertainment,,2014-11-26,9.5
380,Telltale Games,Tales from the Borderlands: Episode 1,"360, Android, Mac, PS3, PS4, Win, Xbox One, iOS",Telltale Games,2014-11-25,2014-11-25,8.5
381,Lucid Games,Geometry Wars 3: Dimensions,"360, Linux, Mac, PS3, PS4, Win, Xbox One",Sierra,2014-11-25,2014-11-25,8
382,Ubisoft Montreal,Far Cry 4,"360, PS3, PS4, Win, Xbox One",Ubisoft,2014-11-18,2014-11-21,9
383,P Studio,Persona Q: Shadow of the Labyrinth,3DS,Atlus,2014-11-25,2014-11-20,9
384,Game Freak,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,The Pokemon Company,2014-11-21,2014-11-19,8
385,Upper One Games,Never Alone,"PS4, Win, Xbox One",,,2014-11-18,7
386,Fatshark,Escape Dead Island,"360, PS3, Win",Deep Silver,2014-11-18,2014-11-18,2
387,Sumo Digital,LittleBigPlanet 3,"PS3, PS4",Sony Computer Entertainment,2014-11-18,2014-11-18,7
388,343 Industries,Halo: The Master Chief Collection,Xbox One,Microsoft Studios,2014-11-11,2014-11-07,8
389,Ubisoft Montreal,Assassin's Creed Unity,"PS4, Win, Xbox One",Ubisoft,2014-11-11,2014-11-11,6.5
390,BioWare,Dragon Age: Inquisition,"360, PS3, PS4, Win, Xbox One",Electronic Arts,2014-11-18,2014-11-11,9.5
391,Red Thread Games,Dreamfall Chapters: The Longest Journey,"Mac, Win",Red Thread Games,2014-04-01,2014-11-06,8
392,Sledgehammer Games,Call of Duty: Advanced Warfare,"360, PS3, PS4, Win, Xbox One",Activision,2014-11-04,2014-11-03,9
393,EA Tiburon,NBA Live 15,"PS4, Xbox One",EA Sports,2014-10-28,2014-10-28,6
394,Deck13 Interactive,Lords of the Fallen,"PS4, Win, Xbox One",Bandai Namco,2014-10-28,2014-10-28,7.5
395,Insomniac Games,Sunset Overdrive,Xbox One,Microsoft Studios,2014-10-28,2014-10-27,9
396,Firaxis Games,Sid Meier's Civilization: Beyond Earth,"Linux, Mac, Win",2K Games,,2014-10-23,9
397,PlatinumGames,The Legend of Korra,"360, PS3, PS4, Win, Xbox One",Activision,,2014-10-22,5
398,Visual Concepts,NBA 2K15,"360, PS3, PS4, Win, Xbox One",2K Sports,2014-10-07,2014-10-21,6
399,Harmonix Music Systems,Fantasia: Music Evolved,"360, Xbox One",Disney Interactive,2014-10-21,2014-10-21,7
400,Harmonix Music Systems,A City Sleeps,"Mac, Win",Harmonix Music Systems,2014-10-16,2014-10-17,6
401,Tango Gameworks,The Evil Within,"360, PS3, PS4, Win, Xbox One",Bethesda Softworks,2014-10-14,2014-10-14,6.5
402,2K Australia,Borderlands: The Pre-Sequel,"360, PS3, Win",2K Games,2014-10-14,2014-10-13,7
403,PlatinumGames,Bayonetta 2,"Nintendo Switch, Wii U",Nintendo,2014-10-24,2014-10-13,7.5
404,The Astronauts,The Vanishing of Ethan Carter,"PS4, Win",The Astronauts,2014-09-26,2014-10-10,9
405,Beenox,Skylanders Trap Team,"360, 3DS, PS3, PS4, Wii, Wii U, Xbox One",Activision,2014-10-05,2014-10-08,8
406,Ovosonico,Murasaki Baby,PS Vita,Sony Computer Entertainment,,2014-10-08,6.5
407,Double Fine Productions,Costume Quest 2,"360, Linux, Mac, PS3, PS4, Wii U, Win, Xbox One",Midnight City,,2014-10-07,6
408,EA Canada,FIFA 15,"360, 3DS, PS Vita, PS3, PS4, Wii, Win, Xbox One",EA Sports,2014-09-26,2014-10-06,8
409,The Creative Assembly,Alien: Isolation,"360, PS3, PS4, Win, Xbox One",Sega,2014-10-07,2014-10-03,6.5
410,Frogwares,Sherlock Holmes: Crimes & Punishments,"360, PS3, PS4, Win, Xbox One",Focus Home Interactive,2014-09-30,2014-09-30,8
411,,Disney Infinity 2.0,"360, PS3, PS4, Wii U, Win, Xbox One, iOS",Disney Interactive,,2014-09-26,8
412,,Dark Souls 2: Crown of the Old Iron King,,,,2014-09-26,8
413,Project Sora,Super Smash Bros. for Nintendo 3DS,3DS,Nintendo,2014-10-03,2014-09-26,9
414,Monolith Productions,Middle-earth: Shadow of Mordor,"360, PS3, PS4, Win, Xbox One",Warner Bros. Interactive Entertainment,2014-09-30,2014-09-26,9.5
415,No Goblin,Roundabout,"Linux, Mac, Win",No Goblin,2014-09-18,2014-09-25,7.5
416,Playground Games,Forza Horizon 2,"360, Xbox One",Microsoft Studios,2014-09-30,2014-09-25,7
417,Harmonix Music Systems,Dance Central Spotlight,Xbox One,Microsoft Studios,2014-09-02,2014-09-23,8
418,,D4,Xbox One,Microsoft Studios,,2014-09-19,7
419,Spike Chunsoft,Danganronpa 2: Goodbye Despair,PS Vita,NIS America,2014-09-02,2014-09-18,8
420,EA Canada,NHL 15,"360, PS3, PS4, Xbox One",EA Sports,2014-09-09,2014-09-17,5.5
421,Tecmo Koei Games,Hyrule Warriors,"3DS, Wii U",Nintendo,2014-09-26,2014-09-17,5.5
422,Square Enix Product Development Division 1,Theatrhythm Final Fantasy: Curtain Call,3DS,Square Enix,2014-09-14,2014-09-16,8
423,Maxis,The Sims 4,"Mac, Win",Electronic Arts,2014-09-02,2014-09-10,6.5
424,Mediatonic,Hatoful Boyfriend,"Mac, Win",Devolver Digital,,2014-09-04,8
425,Sucker Punch Productions,Infamous: First Light,PS4,Sony Computer Entertainment,2014-08-26,2014-09-03,8
426,Futurlab,Velocity 2X,"PS Vita, PS4",,2014-09-02,2014-09-02,9
427,EA Tiburon,Madden NFL 15,"360, PS3, PS4, Xbox One",EA Sports,2014-08-26,2014-08-27,9
428,Telltale Games,The Walking Dead Season Two: Episode 5,"360, Mac, PS Vita, PS3, Win, iOS",Telltale Games,,2014-08-26,7
429,Acquire,Akiba's Trip: Undead & Undressed,"PS Vita, PS3",Xseed Games,,2014-08-25,5
430,Namco Bandai,Tales of Xillia 2,PS3,Namco Bandai,2014-08-19,2014-08-21,6
431,Dynamighty ,CounterSpy,"PS Vita, PS3, PS4",,,2014-08-19,5
432,Honeyslug,Hohokum,"PS Vita, PS3, PS4",SCE Santa Monica Studio,2014-08-12,2014-08-13,6
433,Bohemia Interactive,Arma 3,Win,Bohemia Interactive,2013-09-12,2013-10-17,8
434,Cellar Door Games,Rogue Legacy,"Linux, Mac, PS Vita, PS3, PS4, Win, Xbox One",Cellar Door Games,2013-06-27,2013-07-03,9
435,Digital Dreams,Metrico,PS Vita,,,2014-08-05,5
436,Larian Studios,Divinity: Original Sin,"Mac, Win",Larian Studios,2014-06-30,2014-07-31,9.5
437,Telltale Games,The Walking Dead Season Two: Episode 4,"360, Mac, PS Vita, PS3, Win, iOS",Telltale Games,,2014-07-22,6
438,FromSoftware,Dark Souls 2: Crown of the Sunken King,"360, PS3, Win",Namco Bandai,2014-07-22,2014-07-22,8.5
439,Telltale Games,The Wolf Among Us Episode Five: Cry Wolf,"360, Mac, PS3, Win, iOS",Telltale Games,,2014-07-15,8
440,Ubisoft Montpellier,Valiant Hearts: The Great War,"360, PS3, PS4, Win, Xbox One",Ubisoft,2014-06-25,2014-07-09,8
441,Carbine Studios,WildStar,Win,NCsoft,2014-06-03,2014-07-07,7
442,Edge of Reality,Transformers: Rise of the Dark Spark,"360, 3DS, PS3, PS4, Wii U, Win, Xbox One",Activision,,2014-07-03,4.5
443,DrinkBox Studios,Guacamelee,"360, PS Vita, PS3, PS4, Wii U, Win, Xbox One",DrinkBox Studios,2013-04-09,2013-04-09,9
444,Gojira,Munin,"Linux, Mac, Win",Daedalic Entertainment,2014-06-10,2014-06-30,7.5
445,EA Canada,EA Sports UFC,"Android, PS4, Xbox One, iOS",EA Sports,,2014-06-26,5
446,Yacht Club Games,Shovel Knight,"3DS, Linux, Mac, Wii U, Win",Yacht Club Games,2014-06-26,2014-06-26,9
447,Mimimi Productions,The Last Tinker: City of Colors,"Linux, Mac, Win",Unity Games,2014-05-12,2014-06-25,7
448,8bits Fanatics,1001 Spikes,"360, 3DS, Mac, PS Vita, PS4, Wii U, Win",Nicalis,2014-06-03,2014-06-24,8
449,Nintendo SPD Group No. 1,Tomodachi Life,3DS,Nintendo,2014-06-06,2014-06-06,7.5
450,Vagabond Dog,Always Sometimes Monsters,Win,Devolver Digital,2014-05-21,2014-06-05,8
451,Intelligent Systems,Pushmo World,Wii U,Nintendo,2014-06-19,2014-06-05,9
452,Haemimont Games,Tropico 5,"360, Linux, Mac, PS4, Win",Kalypso Media,2014-05-23,2014-06-04,6.5
453,Airtight Games,Murdered: Soul Suspect,"360, PS3, PS4, Win, Xbox One",Square Enix,2014-06-03,2014-06-03,7
454,Telltale Games,The Wolf Among Us Episode Four: In Sheep's Clothing,"360, Mac, PS3, Win, iOS",Telltale Games,2014-05-27,2014-05-30,7
455,Krillbite Studio,Among the Sleep,"Linux, Mac, PS4, Win",Krillbite Studio,2014-05-29,2014-05-29,7
456,Ubisoft Montreal,Watch Dogs,"360, PS3, PS4, Wii U, Win, Xbox One",Ubisoft,2014-05-27,2014-05-27,8
457,Digital Happiness,DreadOut,Win,Digital Happiness,2014-05-15,2014-05-21,5
458,Supergiant Games,Transistor,"PS4, Win",Supergiant Games,2014-05-20,2014-05-20,8.5
459,Access Games,Drakengard 3,PS3,Square Enix,2014-05-20,2014-05-20,7
460,MachineGames,Wolfenstein: The New Order,"360, PS3, PS4, Win, Xbox One",Bethesda Softworks,2014-05-20,2014-05-20,9
461,Nintendo Entertainment Analysis and Development,Mario Kart 8,"Nintendo Switch, Wii U",Nintendo,2014-05-30,2014-05-15,9
462,Telltale Games,The Walking Dead Season Two: Episode 3,"360, Mac, PS Vita, PS3, Win, iOS",Telltale Games,,2014-05-13,8.5
463,Capybara Games,Super Time Force,"360, PS4, Xbox One",Capybara Games,2014-05-14,2014-05-13,8.5
464,SCE San Diego Studio,MLB 14 The Show,"PS Vita, PS3, PS4",Sony Computer Entertainment,2014-04-01,2014-04-07,8.5
465,Whole Hog Games,Full Bore: The First Dig,"Linux, Win",,2013-09-10,2014-05-08,7.5
466,Spiders,Bound by Flame,"360, PS3, PS4, Win",,2014-05-09,2014-05-08,4
467,Camouflaj,Republique Episode 2: Metamorphosis,iOS,Camouflaj,,2014-05-07,8.5
468,Die Gute Fabrik,Sportsfriends,"Linux, Mac, PS3, PS4, Win",Die Gute Fabrik,2014-05-06,2014-05-06,9
469,Square Enix,Final Fantasy 14: A Realm Reborn,"PS3, PS4, Win",Square Enix,2013-08-27,2013-09-20,9
470,Beenox,The Amazing Spider-Man 2,"360, 3DS, PS3, PS4, Wii U, Win, Xbox One",Activision,2014-04-29,2014-05-01,6
471,Square Enix Montreal,Hitman Go,"Android, iOS",Square Enix,2014-04-17,2014-04-30,8
472,Nintendo,NES Remix 2,Wii U,Nintendo,2014-04-25,2014-04-29,8
473,Zombie Studios,Daylight,"PS4, Win",Atlus,2014-04-24,2014-04-29,5
474,,Kirby Triple Deluxe,3DS,Nintendo,2014-05-02,2014-04-28,7.5
475,Ubisoft Montreal,Child of Light,"360, PS Vita, PS3, PS4, Wii U, Win, Xbox One",Ubisoft,2014-04-30,2014-04-28,6.5
476,Blizzard Entertainment,Hearthstone: Heroes of Warcraft,"Mac, Win, iOS",Blizzard Entertainment,2014-03-11,2014-04-25,10
477,Camelot Software Planning,Mario Golf: World Tour,3DS,Nintendo,2014-05-02,2014-04-25,8
478,ArenaNet,Guild Wars 2,Win,NCsoft,2012-08-22,2012-09-05,9
479,Phoenix Online Studios,Moebius: Empire Rising,"Android, Mac, Win, iOS",Phoenix Online Publishing,2014-04-16,2014-04-24,4
480,Phosfiend Systems,Fract OSC,"Mac, Win",Phosfiend Systems,2014-04-22,2014-04-22,7
481,Chucklefish Games,Starbound,"Linux, Mac, Ouya, Win",Chucklefish Games,1905-07-05,2014-04-22,9
482,Young Horses,Octodad: Dadliest Catch,"Linux, Mac, PS4, Win",Young Horses,2014-01-30,2014-01-30,8
483,Spike Chunsoft,Conception 2: Children of the Seven Stars,"3DS, PS Vita",Atlus,2014-04-15,2014-04-18,4
484,RedLynx,Trials Fusion,"360, PS4, Win, Xbox One",Ubisoft,2014-04-16,2014-04-16,6.5
485,Namco Tales Studio,Tales of Symphonia Chronicles,PS3,Namco Bandai,2014-02-25,2014-04-14,6.5
486,Telltale Games,The Wolf Among Us Episode Three: A Crooked Mile,"360, Mac, PS3, Win, iOS",Telltale Games,2014-04-08,2014-04-11,8
487,TT Games,Lego The Hobbit,"360, 3DS, Mac, PS Vita, PS3, PS4, Wii U, Win, Xbox One",Warner Bros. Interactive Entertainment,2014-04-08,2014-04-11,8
