,reviewd,name,platform,score
264,2017-06-29,Crash Bandicoot N. Sane Trilogy,PS4,8.5
265,2017-06-28,Darkest Dungeon: The Crimson Court,PC,8
266,2017-06-27,Hover: Revolt of Gamers,"Mac OS,PC,PS4,Wii-U,Xbox One",6.5
267,2017-06-27,Diablo III: Rise Of The Necromancer,"PC,PS4,Xbox One",7.5
268,2017-06-27,Arizona Sunshine,"PC,PS4",6
269,2017-06-27,Final Fantasy XV: Episode Prompto,"PS4,Xbox One",6.5
270,2017-06-27,Valkyria Revolution,"PS4,PSVita,Xbox One",5
271,2017-06-26,The Sims 4: Parenthood,PC,9
272,2017-06-26,Danganronpa Another Episode: Ultra Despair Girls,"PS4,PSVita",6.5
273,2017-06-24,God Wars: Future Past,"PS4,PSVita",6.5
274,2017-06-23,Nex Machina,"PC,PS4",9.5
275,2017-06-23,Dead by Daylight,"PC,PS4,Xbox One",2.5
276,2017-06-22,RPG Maker Fes,3DS,7
277,2017-06-22,Machinarium,"Android,iPad,iPhone,Mac OS,PC,PS3,PS4,PSVita",8
278,2017-06-22,Ever Oasis,3DS,8.5
279,2017-06-20,The Mage's Tale,PC,6
280,2017-06-16,Arms,Switch,7
281,2017-06-15,Mighty Gunvolt Burst,"3DS,Switch",8
282,2017-06-12,Cladun Returns: This is Sengoku!,PSVita,5
283,2017-06-10,Star Trek: Bridge Crew,"PC,PS4",7.5
284,2017-06-10,Monument Valley 2,"Android,iPad,iPhone",8
285,2017-06-09,DiRT 4,"PC,PS4,Xbox One",7.5
286,2017-06-09,The Mummy,"Film or TV,PS1",5
287,2017-06-08,Castle of Shikigami,"iPhone,PC",6.5
288,2017-06-07,Monolith,PC,9
289,2017-06-07,Wipeout Omega Collection,PS4,8.5
290,2017-06-06,Marvel's Guardians of the Galaxy: The Telltale Series: Under Pre,"Android,iPad,Mac OS,PC,PS4,Xbox One",7
291,2017-06-06,Steel Division: Normandy 44,PC,8.5
292,2017-06-06,The Elder Scrolls Online: Morrowind,"PC,PS4,Xbox One",7
293,2017-06-05,Harvest Moon Lil' Farmers,iPad,7
294,2017-06-05,Friday the 13th: The Game,"PC,PS4,Xbox One",6.5
295,2017-06-03,Stellaris: Utopia,PC,8.5
296,2017-06-03,Phantom Dust,"PC,Xbox One",2.5
297,2017-06-01,Dark Rose Valkyrie,PS4,4
298,2017-05-31,Block'hood,"Mac OS,PC",7
299,2017-05-31,Tokyo 42,"PC,PS4,Xbox One",8.5
300,2017-05-31,Tekken 7: Fated Retribution,"PC,PS4,Xbox One",8
301,2017-05-30,The Walking Dead: A New Frontier: From The Gallows,"Android,iPad,iPhone,PC,PS4,Xbox One",6
302,2017-05-30,Astro Duel Deluxe,Switch,5
303,2017-05-30,Danger Zone,"PC,PS4,Xbox One",7.5
304,2017-05-26,Emily is Away Too,"Mac OS,PC",7
305,2017-05-25,Vanquish,"PC,PS3,PS4,Xbox 360,Xbox One",8
306,2017-05-25,Perception,"PC,PS4,Switch,Xbox One",3
307,2017-05-25,Rime,"PC,PS4,Switch,Xbox One",7
308,2017-05-25,Rock Band VR,PC,7.5
309,2017-05-24,Injustice 2,"PC,PS4,Xbox One",9
310,2017-05-24,Expeditions: Viking,PC,7
311,2017-05-24,Arkanoid vs. Space Invaders,"Android,iPad,iPhone",9
312,2017-05-24,Samurai Warriors: Spirit of Sanada,"PC,PS4",8.5
313,2017-05-24,Ultra Street Fighter II: The Final Challengers,Switch,7
314,2017-05-23,Guilty Gear Xrd Rev 2,"PC,PS3,PS4",9
315,2017-05-22,Utawarerumono: Mask of Deception,"PS4,PSVita",6.5
316,2017-05-20,Cooking Mama: Sweet Shop,3DS,6
317,2017-05-20,Old Man's Journey,"Android,iPad,iPhone,Mac OS,PC",8
318,2017-05-19,Polybius,"PC,PS4",8
319,2017-05-18,Forza Horizon 3: Hot Wheels,"PC,Xbox One",7
320,2017-05-18,Reservoir Dogs: Bloody Days,"PC,PS4,Xbox One",2
321,2017-05-18,Endless Space 2,"Mac OS,PC",8.5
322,2017-05-18,Mages of Mystralia,"PC,PS4,Xbox One",7
323,2017-05-16,Seasons after Fall,"PC,PS4,Xbox One",4
324,2017-05-16,The Surge,"PC,PS4,Xbox One",6.5
325,2017-05-16,Deemo: The Last Recital,PSVita,6.5
326,2017-05-16,Fire Emblem Echoes: Shadows of Valentia,3DS,7.5
327,2017-05-16,Akiba's Beat,"PS4,PSVita",3.5
328,2017-05-15,Farpoint,PS4,7
329,2017-05-15,Prey,"PC,PS4,Xbox 360,Xbox One",8
330,2017-05-15,The Caligula Effect,PSVita,4
331,2017-05-15,Spark the Electric Jester,PC,8.5
332,2017-05-13,Lethal League,"Mac OS,PC,PS4,Xbox One",9
333,2017-05-13,LocoRoco Remastered,PS4,8
334,2017-05-11,Gundam Breaker 3,"PS4,PSVita",8.5
335,2017-05-10,NieR: Automata,"PC,PS4,Switch",9
336,2017-05-10,NieR: Automata - 3C3C1D119440927,PS4,8
337,2017-05-09,Sniper: Ghost Warrior 3,"PC,PS4,Xbox One",3
338,2017-05-09,Strafe,"Mac OS,PC,PS4",8.5
339,2017-05-09,NBA Playgrounds,"PC,PS4,Switch,Xbox One",7.5
340,2017-05-06,Alien: Covenant,"Film or TV,PC",3.5
341,2017-05-05,Birthdays the Beginning,"PC,PS4,Switch",8
342,2017-05-03,de Blob,"DS,iPad,iPhone,PC,PS4,Wii,Xbox One",8
343,2017-05-03,Statik,PS4,8.5
344,2017-05-03,World to the West,"PC,PS4,Wii-U,Xbox One",7
345,2017-05-02,Nioh: Dragon of the North,PS4,8
346,2017-05-02,TumbleSeed,"Mac OS,PC,PS4,Switch",8
347,2017-05-02,Super Rude Bear Resurrection,"PC,PS4,PSVita,Xbox One",9
348,2017-05-01,GNOG,"iPhone,Mac OS,PC,PS3,PS4,PSVita",8
349,2017-04-30,Die With Glory,Android,7
350,2017-04-28,Kamiko,Switch,8
351,2017-04-26,The Walking Dead: A New Frontier: Thicker than Water,"PC,PS4,Xbox One",5.5
352,2017-04-26,Scanner Sombre,PC,6.5
353,2017-04-25,Wilson's Heart,PC,9
354,2017-04-24,Dragon Quest Heroes Ii,"PC,PS3,PS4,PSVita,Switch",7.5
355,2017-04-24,Outlast 2,"Mac OS,PC,PS4,Switch,Xbox One",8
356,2017-04-24,Cosmic Star Heroine,"Mac OS,PC,PS4,PSVita,Xbox One",7.5
357,2017-04-24,Puyo Puyo Tetris,"3DS,PS4,Switch,Xbox One",9.5
358,2017-04-24,Danganronpa 1*2 Reload,PS4,9
359,2017-04-24,What Remains of Edith Finch,"PC,PS4,Xbox One",9
360,2017-04-21,Little Nightmares,"PC,PS4,Xbox One",8.5
361,2017-04-20,Urban Trial Freestyle 2,3DS,6
362,2017-04-20,Rick and Morty: Virtual Rick-ality,"PC,PS4",7
363,2017-04-20,"Warhammer 40,000: Dawn of War III",PC,7.5
364,2017-04-20,Mario Kart 8 Deluxe,Switch,9.5
365,2017-04-18,Call of Duty: Infinite Warfare: Continuum,"PC,PS4,Xbox One",6.5
366,2017-04-18,Full Throttle Remastered,"PC,PS4,PSVita",9
367,2017-04-18,Bye-Bye BoxBoy!,"3DS,Android",7
368,2017-04-18,Late Shift,PS4,5
369,2017-04-18,Flinthook,"PC,PS4,Switch,Xbox One",8.5
370,2017-04-18,Guardians of the Galaxy: The Telltale Series,"Android,iPhone,PC,PS4,Xbox One",6.5
371,2017-04-18,Shiness: The Lightning Kingdom,"PC,PS4,Xbox One",6.5
372,2017-04-18,The Disney Afternoon Collection,"PC,PS4,Xbox One",8
373,2017-04-17,Wonder Boy: The Dragon's Trap,"PC,PS4,Switch,Xbox One",8.5
374,2017-04-17,Voodoo Vince Remastered,"PC,Xbox One",5
375,2017-04-17,Vroom in the Night Sky,Switch,1
376,2017-04-12,Mr. Shifty,"Mac OS,PC,PS4,Switch,Xbox One",6
377,2017-04-12,Starblood Arena,PS4,5.5
378,2017-04-11,Robo Recall,PC,8.5
379,2017-04-11,Drawn to Death,PS4,6
380,2017-04-10,Snake Pass,"PC,PS4,Switch,Xbox One",6
381,2017-04-10,The Sexy Brutale,"PC,PS4,Switch,Xbox One",8
382,2017-04-09,Use Your Words,"PC,PS4,Switch,Wii-U,Xbox One",3
383,2017-04-07,Troll and I,"PC,PS4,Switch,Xbox One",1
384,2017-04-07,Rivals of Aether,"PC,Xbox One",9
385,2017-04-06,Graceful Explosion Machine,Switch,7
386,2017-04-06,Bulletstorm: Full Clip Edition,"PC,PS4,Xbox One",7
387,2017-04-05,Paradigm,PC,9
388,2017-04-04,HackyZack,PC,7.5
389,2017-04-04,A Rose in the Twilight,PSVita,7.5
390,2017-04-04,Yooka-Laylee,"Mac OS,PC,PS4,Switch,Wii-U,Xbox One",8
391,2017-04-03,PaRappa the Rapper Remastered,PS4,5.5
392,2017-03-31,Mario Sports Superstars,3DS,5
393,2017-03-31,MLB The Show 17,PS4,8
394,2017-03-30,Digimon World: Next Order,"PS4,PSVita",8
395,2017-03-30,Night in the Woods,"Mac OS,PC,PS4,Xbox One",9.5
396,2017-03-30,Momodora: Reverie Under the Moonlight,"PC,PS4",8
397,2017-03-30,Toukiden 2,"PC,PS3,PS4,PSVita",9
398,2017-03-30,Thimbleweed Park,"Android,iPad,iPhone,Mac OS,PC,Switch,Xbox One",9
399,2017-03-29,Final Fantasy XV: Episode Gladiolus,"PS4,Xbox One",6
400,2017-03-29,Persona 5,"PS3,PS4,Switch",9
