,date,game,platform,score
177,2017-10-02,DropMix,"Android,iPad,iPhone,Placeholder",8.5
178,2017-10-01,Pokemon Silver,3DS,9
179,2017-09-29,Pylon: Rogue,"PC,PS4,Xbox One",3
180,2017-09-29,Dishonored: Death of the Outsider,"PC,PS4,Xbox One",8.5
181,2017-09-29,Cuphead,"PC,PS4,Xbox One",9.5
182,2017-09-27,Star Fox 2,Placeholder,7
183,2017-09-27,Nioh: Bloodshed's End,PS4,9
184,2017-09-26,Lightfield,"PS4,Xbox One",5.5
185,2017-09-26,Necrosphere,PC,6.5
186,2017-09-26,Minecraft New Nintendo 3DS Edition,3DS,6
187,2017-09-26,Ruiner,"PC,PS4,Xbox One",9
188,2017-09-26,Blue Reflection,"PC,PS4,PSVita",6.5
189,2017-09-25,Kingdom: New Lands,"Android,iPhone,Mac OS,PC,Switch,Xbox One",6
190,2017-09-24,Tokyo Dark,PC,7
191,2017-09-22,Senran Kagura: Peach Beach Splash,"PC,PS4",7.5
192,2017-09-21,SteamWorld Dig 2,"3DS,PC,PS4,PSVita,Switch",8.5
193,2017-09-20,Samurai Shodown V Special,"PS4,PSVita",8
194,2017-09-20,West of Loathing,PC,9
195,2017-09-19,Rayman Legends Definitive Edition,Switch,4.5
196,2017-09-19,Danganronpa V3: Killing Harmony,"PC,PS4,PSVita",10
197,2017-09-19,Atomega,PC,6
198,2017-09-18,Marvel vs. Capcom: Infinite,"PC,PS4,Xbox One",7.5
199,2017-09-18,Pokken Tournament DX,Switch,7.5
200,2017-09-15,Hiveswap: Act 1,PC,7.5
201,2017-09-15,ARK: Survival Evolved,"Mac OS,PC,PS4,Xbox One",7
202,2017-09-12,Call of Duty: Infinite Warfare Retribution,"PC,PS4,Xbox One",6
203,2017-09-12,Metroid: Samus Returns,3DS,8
204,2017-09-12,Tooth and Tail,"PC,PS4",9.5
205,2017-09-11,Senko no Ronde 2,"PC,PS4",7
206,2017-09-10,Observer,"PC,PS4,Xbox One",9
207,2017-09-09,Pillars of Eternity - Complete Edition,"PS4,Xbox One",8
208,2017-09-08,Life is Strange: Before the Storm: Awake,"PC,PS4,Xbox One",8.5
209,2017-09-07,Monster Hunter Stories,3DS,7
210,2017-09-06,Darkwood,"Mac OS,PC",7.5
211,2017-09-06,Utawarerumono: Mask of Truth,"PS4,PSVita",7.5
212,2017-09-06,Titanfall Assault,"Android,iPad",6.5
213,2017-09-05,Knack II,PS4,5.5
214,2017-09-04,Last Day of June,"PC,PS4",8
215,2017-09-02,Fishing Planet,"PC,PS4",7
216,2017-09-01,Ys VIII: Lacrimosa of Dana,"PC,PS4,PSVita,Switch",9
217,2017-08-31,Distrust,PC,8
218,2017-08-31,Windjammers,"PS4,PSVita",7
219,2017-08-31,Madden 18,"PS4,Xbox One",7.5
220,2017-08-31,Everybody's Golf,"Android,iPhone,PS1,PS2,PS4,Xbox One",8.5
221,2017-08-31,Resident Evil: Revelations,"3DS,PC,PS3,PS4,Switch,Wii-U,Xbox 360,Xbox One",8
222,2017-08-30,Songbringer,"PC,PS4,Xbox One",7
223,2017-08-30,Ys Seven,"PC,PSP",8
224,2017-08-29,Sparc,"PC,PS4",8
225,2017-08-29,Absolver,"PC,PS4,Xbox One",7.5
226,2017-08-29,Shantae: Half-Genie Hero - Pirate Queen's Quest,"PC,PS4,PSVita,Switch,Wii-U,Xbox One",6
227,2017-08-29,Warriors All-Stars,"PC,PS4,PSVita",7
228,2017-08-28,Game of Thrones,"Film or TV,iPad,iPhone,Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",8
229,2017-08-28,Rock of Ages 2: Bigger & Boulder,"PC,PS4,Xbox One",7.5
230,2017-08-28,Mario + Rabbids Kingdom Battle,Switch,7.5
231,2017-08-24,forma.8,"iPad,Mac OS,PC,PS4,PSVita,Switch,Wii-U,Xbox One",7.5
232,2017-08-24,Chicken Wiggle,3DS,7.5
233,2017-08-23,Flip Wars,Switch,3.5
234,2017-08-22,White Day: A Labyrinth Named School,"Android,iPad,iPhone,PC,PS4",6.5
235,2017-08-21,The Long Dark,"PC,PS4,Xbox One",7.5
236,2017-08-21,Yakuza Kiwami,"PS3,PS4",8
237,2017-08-21,Marvel's Guardians of the Galaxy: The Telltale Series: More Than,PC,7.5
238,2017-08-18,Sine Mora EX,"PC,PS4,PSVita,Switch,Xbox One",7
239,2017-08-17,Uncharted: The Lost Legacy,PS4,9
240,2017-08-16,Serial Cleaner,"PC,PS4,Xbox One",7
241,2017-08-15,Night Trap: 25th Anniversary Edition,"PC,PS4,Xbox One",4
242,2017-08-15,Undertale,"PC,PS4,PSVita",10
243,2017-08-15,Agents of Mayhem,"PC,PS4,Xbox One",7
244,2017-08-15,Matterfall,PS4,7.5
245,2017-08-14,Sonic Mania,"PC,PS4,Switch,Xbox One",8
246,2017-08-14,Nidhogg 2,"PC,PS4",9.5
247,2017-08-10,Slime Rancher,"Mac OS,PC,Xbox One",8.5
248,2017-08-09,LawBreakers,"PC,PS4,Xbox One",8.5
249,2017-08-09,Aven Colony,"PC,PS4,Xbox One",6
250,2017-08-08,Hellblade,"PC,PS4,Xbox One",7.5
251,2017-08-08,Mega Man Legacy Collection 2,"PC,PS4,Xbox One",8
252,2017-08-07,Infinite Minigolf,"PC,PS4,Switch,Xbox One",6.5
253,2017-08-07,Gotta Go,PC,2.5
254,2017-08-07,Lone Echo,PC,9
255,2017-08-07,Batman: The Enemy Within: The Enigma,"PC,PS4,Xbox One",7
256,2017-08-06,Immortal Planet,PC,6
257,2017-08-05,Namco Museum,"PS2,Switch",7.5
258,2017-08-02,Dino Frontier,PS4,8
259,2017-08-01,Tacoma,"Mac OS,PC,Xbox One",9
260,2017-08-01,Aztez,"PC,PS4,PSVita,Wii-U,Xbox One",9
261,2017-07-31,Redeemer,PC,5
262,2017-07-31,Layton's Mystery Journey: Katrielle and the Millionaires' Conspi,iPad,6
263,2017-07-31,Patapon,"PS4,PSP",8
264,2017-07-30,The End is Nigh,"PC,Switch",8.5
265,2017-07-27,Yonder: The Cloud Catcher Chronicles,"PC,PS4",8
266,2017-07-27,Theseus,PS4,4.5
267,2017-07-27,Miitopia,3DS,7
268,2017-07-27,Sundered,"Mac OS,PC,PS4",6
269,2017-07-27,The Darkside Detective,Mac OS,5.5
270,2017-07-26,Hey! Pikmin,3DS,7
271,2017-07-24,Accel World VS Sword Art Online: Millennium Twilight,"PS4,PSVita",4.5
272,2017-07-24,Nioh: Defiant Honor,PS4,8.5
273,2017-07-24,Pyre,"PC,PS4",8.5
274,2017-07-21,Splatoon 2,Switch,8.5
275,2017-07-19,Fallen Legion,"PS4,PSVita",7.5
276,2017-07-19,Turok 2: Seeds of Evil,"PC,Xbox One",6
277,2017-07-18,Stay! Stay! Democratic People's Republic of Korea!,PC,4.5
278,2017-07-14,Fantastic Contraption,"PC,PS4",6
279,2017-07-13,Get Even,"PC,PS4,Xbox One",8
280,2017-07-12,Shephy,"Android,iPhone,Switch",3
281,2017-07-12,De Mambo,"PC,PS4,Switch",7
282,2017-07-10,Final Fantasy XII: The Zodiac Age,"PC,PS4",8
283,2017-07-09,Bulb Boy,"PC,Switch",8
284,2017-07-08,That's You,PS4,6.5
285,2017-07-06,Call of Duty: Infinite Warfare: Absolution,"PC,PS4,Xbox One",6.5
286,2017-07-06,Kirby's Blowout Blast,3DS,6
287,2017-07-05,Elite Dangerous,"Mac OS,PC,PS4,Xbox One",9
288,2017-07-03,Micro Machines World Series,"PC,PS4,Xbox One",5
289,2017-07-01,The Legend of Zelda: Breath of the Wild - The Master Trials,"Switch,Wii-U",7
290,2017-06-30,Oceanhorn: Monster of Uncharted Seas,"Android,iPad,iPhone,Mac OS,PC,PS4,PSVita,Switch,Xbox One",6.5
291,2017-06-29,Tokyo Xanadu,"PC,PSVita",6.5
292,2017-06-29,Crash Bandicoot N. Sane Trilogy,PS4,8.5
293,2017-06-28,Darkest Dungeon: The Crimson Court,PC,8
294,2017-06-27,Hover: Revolt of Gamers,"Mac OS,PC,PS4,Wii-U,Xbox One",6.5
295,2017-06-27,Diablo III: Rise Of The Necromancer,"PC,PS4,Xbox One",7.5
296,2017-06-27,Arizona Sunshine,"PC,PS4",6
297,2017-06-27,Final Fantasy XV: Episode Prompto,"PS4,Xbox One",6.5
298,2017-06-27,Valkyria Revolution,"PS4,PSVita,Xbox One",5
299,2017-06-26,The Sims 4: Parenthood,PC,9
300,2017-06-26,Danganronpa Another Episode: Ultra Despair Girls,"PS4,PSVita",6.5
301,2017-06-24,God Wars: Future Past,"PS4,PSVita",6.5
302,2017-06-23,Nex Machina,"PC,PS4",9.5
303,2017-06-23,Dead by Daylight,"PC,PS4,Xbox One",2.5
304,2017-06-22,RPG Maker Fes,3DS,7
305,2017-06-22,Machinarium,"Android,iPad,iPhone,Mac OS,PC,PS3,PS4,PSVita",8
306,2017-06-22,Ever Oasis,3DS,8.5
307,2017-06-20,The Mage's Tale,PC,6
308,2017-06-16,Arms,Switch,7
309,2017-06-15,Mighty Gunvolt Burst,"3DS,Switch",8
310,2017-06-12,Cladun Returns: This is Sengoku!,PSVita,5
311,2017-06-10,Star Trek: Bridge Crew,"PC,PS4",7.5
312,2017-06-10,Monument Valley 2,"Android,iPad,iPhone",8
313,2017-06-09,DiRT 4,"PC,PS4,Xbox One",7.5
314,2017-06-09,The Mummy,"Film or TV,PS1",5
315,2017-06-08,Castle of Shikigami,"iPhone,PC",6.5
316,2017-06-07,Monolith,PC,9
317,2017-06-07,Wipeout Omega Collection,PS4,8.5
318,2017-06-06,Marvel's Guardians of the Galaxy: The Telltale Series: Under Pre,"Android,iPad,Mac OS,PC,PS4,Xbox One",7
319,2017-06-06,Steel Division: Normandy 44,PC,8.5
320,2017-06-06,The Elder Scrolls Online: Morrowind,"PC,PS4,Xbox One",7
321,2017-06-05,Harvest Moon Lil' Farmers,iPad,7
322,2017-06-05,Friday the 13th: The Game,"PC,PS4,Xbox One",6.5
323,2017-06-03,Stellaris: Utopia,PC,8.5
324,2017-06-03,Phantom Dust,"PC,Xbox One",2.5
325,2017-06-01,Dark Rose Valkyrie,PS4,4
326,2017-05-31,Block'hood,"Mac OS,PC",7
327,2017-05-31,Tokyo 42,"PC,PS4,Xbox One",8.5
328,2017-05-31,Tekken 7: Fated Retribution,"PC,PS4,Xbox One",8
329,2017-05-30,The Walking Dead: A New Frontier: From The Gallows,"Android,iPad,iPhone,PC,PS4,Xbox One",6
330,2017-05-30,Astro Duel Deluxe,Switch,5
331,2017-05-30,Danger Zone,"PC,PS4,Xbox One",7.5
332,2017-05-26,Emily is Away Too,"Mac OS,PC",7
333,2017-05-25,Vanquish,"PC,PS3,PS4,Xbox 360,Xbox One",8
334,2017-05-25,Perception,"PC,PS4,Switch,Xbox One",3
335,2017-05-25,Rime,"PC,PS4,Switch,Xbox One",7
336,2017-05-25,Rock Band VR,PC,7.5
337,2017-05-24,Injustice 2,"PC,PS4,Xbox One",9
338,2017-05-24,Expeditions: Viking,PC,7
339,2017-05-24,Arkanoid vs. Space Invaders,"Android,iPad,iPhone",9
340,2017-05-24,Samurai Warriors: Spirit of Sanada,"PC,PS4",8.5
341,2017-05-24,Ultra Street Fighter II: The Final Challengers,Switch,7
342,2017-05-23,Guilty Gear Xrd Rev 2,"PC,PS3,PS4",9
343,2017-05-22,Utawarerumono: Mask of Deception,"PS4,PSVita",6.5
344,2017-05-20,Cooking Mama: Sweet Shop,3DS,6
345,2017-05-20,Old Man's Journey,"Android,iPad,iPhone,Mac OS,PC",8
346,2017-05-19,Polybius,"PC,PS4",8
347,2017-05-18,Forza Horizon 3: Hot Wheels,"PC,Xbox One",7
