,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
1183,"PlatinumGames, NUDE MAKER,Y.K.",Role-Playing,Infinite Space,DS,Sega,"Mar 16, 2010","Mar 18, 2010",6.5,8.0
1184,4A Games,"3D, Action, First-Person, Shooter",Metro 2033,"Linux,PC,PlayStation 4,Xbox 360,Xbox One","Deep Silver, THQ, E-Frontier, Spike","Mar 16, 2010","Mar 17, 2010",7.5,8.1
1185,"Rare Ltd., 4J Studios","3D, Action, First-Person, Shooter",Perfect Dark,"Nintendo 64,Xbox 360","Nintendo, Microsoft Game Studios","May 22, 2000","Mar 17, 2010",7.5,9.3
1186,BioWare,Role-Playing,Dragon Age: Origins,"Macintosh,PC,PlayStation 3,Xbox 360","Electronic Arts, Spike","Nov 3, 2009","Mar 16, 2010",8.0,8.6
1187,Relic,"Real-Time, Strategy","Warhammer 40,000: Dawn of War II - Chaos Rising","Linux,Macintosh,PC","Sega, THQ","Mar 10, 2010","Mar 16, 2010",8.5,8.5
1188,"Slick Entertainment Inc., Slick Entertainment","Arcade, Driving/Racing",Scrap Metal,"iOS (iPhone/iPad),Xbox 360","Slick Entertainment Inc., Microsoft Game Studios, Slick Entertainment","Mar 10, 2010","Mar 16, 2010",6.5,6.8
1189,Hudson Entertainment,"Adventure, Survival, 3D, Action",Calling,Wii,"Hudson Entertainment, Konami","Mar 9, 2010","Mar 16, 2010",3.5,5.6
1190,EA LA,"Real-Time, Strategy",Command & Conquer 4: Tiberian Twilight,PC,Electronic Arts,"Mar 16, 2010","Mar 16, 2010",7.0,4.0
1191,Omega Force,"3D, Beat-'Em-Up, Action",Dynasty Warriors: Strikeforce,"PlayStation 3,PSP,Xbox 360","Koei, Koei Tecmo Games","Apr 28, 2009","Mar 15, 2010",6.5,7.8
1192,Omega Force,"3D, Beat-'Em-Up, Action",Dynasty Warriors: Strikeforce,"PlayStation 3,PSP,Xbox 360","Koei, Koei Tecmo Games","Apr 28, 2009","Mar 15, 2010",6.5,7.8
1193,Ryu ga Gotoku Studios,"Action, Adventure",Yakuza 3,PlayStation 3,Sega,"Mar 9, 2010","Mar 11, 2010",8.0,8.4
1194,"PopCap, Griptonite Games","Matching/Stacking, Puzzle",Bejeweled Twist,"BlackBerry,DS,PC,Zeebo","PopCap, Square Enix","Oct 27, 2008","Mar 11, 2010",7.0,8.1
1195,SCEA,"Baseball, Simulation, Sports, Team-Based",MLB 10: The Show,"PlayStation 2,PlayStation 3,PSP","SCEI, SCEA","Mar 1, 2010","Mar 10, 2010",8.0,8.6
1196,Signal Studios,"Real-Time, Strategy",Toy Soldiers,"PC,Xbox 360","Microsoft Game Studios, Signal Studios","Mar 3, 2010","Mar 9, 2010 ",8.5,8.3
1197,Related Designs,Simulation,Dawn of Discovery: Venice,PC,Ubisoft,"Feb 26, 2010","Mar 9, 2010 ",7.0,8.1
1198,"Powerhead Games, Visual Concepts","Simulation, Sports, Team-Based, Baseball",Major League Baseball 2K10,"DS,PC,PlayStation 2,PlayStation 3,PSP,Wii,Xbox 360","2K Sports, Take-Two Interactive","Mar 1, 2010","Mar 9, 2010 ",5.0,7.3
1199,Ubisoft Montreal,"Action, Adventure",Assassin's Creed II,"Macintosh,PC,PlayStation 3,Xbox 360","Ubisoft, Focus Multimedia, E-Frontier","Nov 17, 2009","Mar 8, 2010 ",8.0,9.0
1200,"Invictus, Vanguard Games, W!Games","Strategy, Turn-Based",Greed Corp,"Android,iOS (iPhone/iPad),Macintosh,PC,PlayStation 3,Xbox 360","Invictus, Invictus Games, DTP Entertainment, W!Games, Spike","Feb 24, 2010","Mar 8, 2010 ",8.0,7.5
1201,"Invictus, Vanguard Games, W!Games","Strategy, Turn-Based",Greed Corp,"Android,iOS (iPhone/iPad),Macintosh,PC,PlayStation 3,Xbox 360","Invictus, Invictus Games, DTP Entertainment, W!Games, Spike","Feb 24, 2010","Mar 8, 2010 ",8.0,7.5
1202,"SCE Santa Monica, Wholesale Algorithms","Adventure, Action",God of War III,"PlayStation 3,PlayStation 4","SCEI, SCEE, SCE Australia, SCEA, Capcom","Mar 16, 2010","Mar 8, 2010 ",9.0,9.2
1203,Square Enix,Role-Playing,Final Fantasy XIII,"PC,PlayStation 3,Xbox 360",Square Enix,"Mar 9, 2010","Mar 5, 2010 ",8.5,8.2
1204,Square Enix,Role-Playing,Final Fantasy XIII,"PC,PlayStation 3,Xbox 360",Square Enix,"Mar 9, 2010","Mar 5, 2010 ",8.5,8.2
1205,"Digital Legends Entertainment, EA DICE","3D, Action, First-Person, Shooter",Battlefield: Bad Company 2,"iOS (iPhone/iPad),PC,PlayStation 3,Xbox 360","Electronic Arts, EA Games, Ubisoft","Mar 2, 2010","Mar 4, 2010 ",9.0,8.8
1206,"Powerhead Games, Visual Concepts","Team-Based, Baseball, Simulation, Sports",Major League Baseball 2K10,"DS,PC,PlayStation 2,PlayStation 3,PSP,Wii,Xbox 360","2K Sports, Take-Two Interactive","Mar 1, 2010","Mar 4, 2010 ",7.5,7.3
1207,"Powerhead Games, Visual Concepts","Baseball, Simulation, Sports, Team-Based",Major League Baseball 2K10,"DS,PC,PlayStation 2,PlayStation 3,PSP,Wii,Xbox 360","2K Sports, Take-Two Interactive","Mar 1, 2010","Mar 4, 2010 ",7.0,7.3
1208,"Digital Legends Entertainment, EA DICE","3D, Action, First-Person, Shooter",Battlefield: Bad Company 2,"iOS (iPhone/iPad),PC,PlayStation 3,Xbox 360","Electronic Arts, EA Games, Ubisoft","Mar 2, 2010","Mar 3, 2010 ",9.0,8.8
1209,"Digital Legends Entertainment, EA DICE","Shooter, 3D, Action, First-Person",Battlefield: Bad Company 2,"iOS (iPhone/iPad),PC,PlayStation 3,Xbox 360","Electronic Arts, EA Games, Ubisoft","Mar 2, 2010","Mar 3, 2010 ",9.0,8.8
1210,"Namco Networks America, Sarbakan Inc.",Action,Lazy Raiders,"iOS (iPhone/iPad),Xbox 360","Namco Networks America, Sarbakan Inc., Microsoft Game Studios","Feb 24, 2010","Mar 3, 2010 ",7.5,7.5
1211,Capcom,"Action, Adventure, Survival, 3D",Resident Evil 5,"Android,PC,PlayStation 3,PlayStation 4,Xbox 360,Xbox One","NVIDIA, Capcom","Mar 13, 2009","Mar 2, 2010 ",8.0,8.5
