,developer,genres,name,platforms,publisher,release_date,review_date,score,user_score
77,FUN Labs,"3D, Action, First-Person, Shooter",Shadow Force: Razor Unit,PC,Activision Value,"Feb 24, 2002","Mar 8, 2002 ",4.6,5.7
78,Electronic Arts,"Sports, Boxing",Knockout Kings 2002,"PlayStation 2,Xbox",Electronic Arts,"Mar 4, 2002","Mar 8, 2002 ",8.3,7.4
79,Electronic Arts,"Boxing, Sports",Knockout Kings 2002,"PlayStation 2,Xbox",Electronic Arts,"Mar 4, 2002","Mar 8, 2002 ",8.4,7.4
80,Tecmo,"Adventure, Survival, 3D, Action",Fatal Frame,PlayStation 2,"Tecmo, Wanadoo, SCEA","Mar 4, 2002","Mar 8, 2002 ",7.1,8.5
81,"Vicarious Visions, HotGen, Neversoft Entertainment, Gearbox Software, Edge of Reality, Shaba Games","Sports, Skateboarding/Skating",Tony Hawk's Pro Skater 3,"Game Boy Advance,Game Boy Color,GameCube,Macintosh,Nintendo 64,PC,PlayStation,PlayStation 2,Xbox","Activision, Success, Aspyr","Oct 28, 2001","Mar 8, 2002 ",9.5,8.4
82,"KCEO, Konami",Sports,ESPN International Winter Sports 2002,"Game Boy Advance,GameCube,PlayStation 2,Xbox",Konami,"Jan 28, 2002","Mar 7, 2002 ",4.6,5.2
83,"Vicarious Visions, HotGen, Neversoft Entertainment, Gearbox Software, Edge of Reality, Shaba Games","Sports, Skateboarding/Skating",Tony Hawk's Pro Skater 3,"Game Boy Advance,Game Boy Color,GameCube,Macintosh,Nintendo 64,PC,PlayStation,PlayStation 2,Xbox","Activision, Success, Aspyr","Oct 28, 2001","Mar 7, 2002 ",9.6,8.4
84,Yuke's,"Action, Adventure",EOE: Eve of Extinction,PlayStation 2,Eidos Interactive,"Feb 26, 2002","Mar 7, 2002 ",6.5,6.8
85,"DC Studios, Attention To Detail",Sports,Salt Lake 2002,"Game Boy Advance,PC,PlayStation 2","Ubisoft, Eidos Interactive","Jan 19, 2002","Mar 6, 2002 ",6.3,5.4
86,Digital Illusions,"Driving/Racing, Simulation",RalliSport Challenge,"PC,Xbox","Microsoft Game Studios, Empire Interactive","Mar 4, 2002","Mar 6, 2002 ",9.1,8.5
87,"KCEO, Konami","Sports, Snowboarding/Skiing",ESPN Winter X-Games Snowboarding 2002,"Game Boy Advance,PlayStation 2,Xbox",Konami,2001,"Mar 5, 2002 ",6.5,6.6
88,Appaloosa Interactive,"Action, Adventure",Ecco the Dolphin: Defender of the Future,"Dreamcast,PlayStation 2","Sega, Acclaim, SCEE","Sep 10, 2000","Mar 4, 2002 ",7.4,7.9
89,Delphine Software International,"Driving/Racing, Arcade",Moto Racer 3,PC,"Delphine Software International, Infogrames, Sold Out Software","Jan 31, 2002","Mar 4, 2002 ",7.2,7.4
90,Kodiak Interactive,"Driving/Racing, Arcade",Circus Maximus: Chariot Wars,"PlayStation 2,Xbox","THQ, Encore Software, Inc.","Feb 24, 2002","Mar 1, 2002 ",6.2,6.6
91,Konami,"Simulation, Sports, Team-Based, Basketball",ESPN NBA 2Night 2002,"PlayStation 2,Xbox",Konami,"Feb 25, 2002","Mar 1, 2002 ",5.0,5.9
92,Ultimation Inc.,Simulation,Destroyer Command,PC,"Ubisoft, Dice Multi Media","Feb 17, 2002","Mar 1, 2002 ",2.5,6.4
93,"Mobius Entertainment, 3DO","Simulation, Sports, Team-Based, Baseball",High Heat Major League Baseball 2003,"Game Boy Advance,PC,PlayStation 2","3DO, Takara","Feb 9, 2002","Feb 28, 2002",8.7,7.5
94,"EA Sports, NuFX","Sports, Team-Based, Arcade, Basketball",NBA Street,"GameCube,PlayStation 2","EA Sports Big, Electronic Arts Victor","Jun 18, 2001","Feb 27, 2002",8.8,8.7
95,Acclaim,"Arcade, Driving/Racing",Jeremy McGrath Supercross World,"GameCube,PlayStation 2",Acclaim,"Nov 15, 2001","Feb 27, 2002",2.4,4.2
96,Visual Concepts,"Sports, Team-Based, Basketball, Simulation",NBA 2K2,"Dreamcast,GameCube,PlayStation 2,Xbox",Sega,"Oct 24, 2001","Feb 26, 2002",8.9,8.4
97,Treyarch,"Sports, Team-Based, Hockey, Simulation",NHL 2K2,Dreamcast,Sega,"Feb 14, 2002","Feb 26, 2002",8.1,8.5
98,"Full Fat, Namco","Action, 3D, Platformer",Pac-Man World 2,"Game Boy Advance,GameCube,PC,PlayStation 2,Xbox","Namco, Zoo Digital Publishing, Electronic Arts, LSP, Hip Games, SCEE","Feb 24, 2002","Feb 26, 2002",8.0,7.6
99,Westwood Studios,"Shooter, 3D, Action, First-Person",Command & Conquer: Renegade,PC,"Electronic Arts, Sold Out Software","Feb 27, 2002","Feb 26, 2002",7.8,8.0
100,DC Studios,"Team-Based, Arcade, Basketball, Sports",NBA Jam 2002,Game Boy Advance,Acclaim,"Feb 17, 2002","Feb 25, 2002",7.0,6.2
101,Smilebit,"3D, Platformer, Action",JSRF: Jet Set Radio Future,Xbox,Sega,"Feb 25, 2002","Feb 25, 2002",8.7,8.4
102,Radical Entertainment,"Sports, Snowboarding/Skiing",Dark Summit,"GameCube,PlayStation 2,Xbox","THQ, Radical Entertainment","Nov 12, 2001","Feb 25, 2002",7.2,6.4
103,DreamFactory,"Fighting, 3D, Action",Ultimate Fighting Championship: Tapout,Xbox,"Capcom, Ubisoft, Crave","Feb 17, 2002","Feb 22, 2002",8.6,7.3
104,"Headgate, EA Sports","Sports, Golf, Simulation",Tiger Woods PGA Tour 2002,"PC,PlayStation 2","Electronic Arts, EA Sports","Feb 24, 2002","Feb 22, 2002",8.1,8.2
105,Artematica,"Adventure, Action",Druuna: Morbus Gravis,PC,Microids,"Nov 27, 2001","Feb 22, 2002",2.6,4.3
106,Smilebit,"Strategy, Real-Time",Hundred Swords,"Dreamcast,PC","Sega, Empire Interactive, Activision Value","Feb 4, 2002","Feb 21, 2002",7.1,7.0
107,"Sega, CRI, Acclaim Studios Cheltenham","Driving/Racing, Arcade",18 Wheeler: American Pro Trucker,"Arcade Games,Dreamcast,GameCube,PlayStation 2","Sega, Acclaim, Acclaim Japan",2000,"Feb 21, 2002",4.6,5.8
108,Westwood Studios,"Adventure, Action",Pirates: The Legend of Black Kat,"PlayStation 2,Xbox",Electronic Arts,"Feb 17, 2002","Feb 20, 2002",7.8,7.4
109,"Headgate, EA Sports","Sports, Golf, Simulation",Tiger Woods PGA Tour 2002,"PC,PlayStation 2","Electronic Arts, EA Sports","Feb 24, 2002","Feb 20, 2002",8.2,8.2
110,"Rainbow Studios, LucasArts","Arcade, Driving/Racing",Star Wars: Racer Revenge,"PlayStation 2,PlayStation 4","LucasArts, SCEA, Disney Interactive Studios","Feb 11, 2002","Feb 20, 2002",7.1,7.8
111,"Gaelco, Raylight Studios, Point of View, Namco","Arcade, Driving/Racing",Smashing Drive,"Arcade Games,Game Boy Advance,GameCube,Xbox","Gaelco, Zoo Digital Publishing, DSI Games, Namco","Feb 18, 2002","Feb 20, 2002",3.5,4.8
112,SCEE London Studio,"Soccer, Sports, Team-Based, Simulation",World Tour Soccer 2002,PlayStation 2,"SCEE, SCE Australia, SCEA","Feb 17, 2002","Feb 19, 2002",8.2,7.0
113,Infinite Machine,"2D, Action, Beat-'Em-Up",New Legends,Xbox,THQ,"Feb 17, 2002","Feb 19, 2002",7.0,6.5
114,Tannhauser Gate,"MMO, Role-Playing",Mimesis Online,PC,Tannhauser Gate,"Jan 16, 2002","Feb 19, 2002",3.6,4.2
115,Papyrus,"Driving/Racing, Simulation",NASCAR Racing 2002 Season,PC,Sierra Entertainment,"Feb 14, 2002","Feb 15, 2002",8.8,8.4
116,VIS Entertainment,"3D, Action, Beat-'Em-Up",State of Emergency,"PC,PlayStation 2,Xbox","VIS Entertainment, Global Star Software, Rockstar Games","Feb 12, 2002","Feb 15, 2002",8.5,7.0
117,"Sonic Team, Sega","Platformer, Action, 3D",Sonic Adventure 2,"Dreamcast,GameCube,PC,PlayStation 3,Xbox 360",Sega,"Jun 18, 2001","Feb 15, 2002",6.8,8.5
118,Koei/Inis,Music/Rhythm,Gitaroo Man,PlayStation 2,Koei,"Feb 19, 2002","Feb 14, 2002",8.7,8.8
119,Digital Fusion Inc.,"3D, Action, On-Rails, Shooter",Beach Head 2002,PC,"Digital Fusion Inc., Infogrames","Jan 14, 2002","Feb 13, 2002",4.1,5.6
120,"Sonic Team, Sega","Matching/Stacking, Puzzle",Puyo Pop,"Game Boy Advance,N-Gage","THQ, Sega, Nokia","Feb 11, 2002","Feb 13, 2002",8.4,6.8
121,Wow Entertainment,"Puzzle, Matching/Stacking",Columns Crown,Game Boy Advance,"Sega, THQ","Feb 4, 2002","Feb 13, 2002",6.9,7.1
122,"OutLook Entertainment, Point of View, Midway","Team-Based, Arcade, Football (American), Sports",NFL Blitz 20-02,"Game Boy Advance,GameCube,PlayStation 2,Xbox",Midway,"Sep 17, 2001","Feb 12, 2002",8.5,7.4
123,From Software,"Role-Playing, Action",Forever Kingdom,PlayStation 2,"Agetec Inc., From Software","Jan 21, 2002","Feb 12, 2002",6.3,6.7
124,Nintendo,"2D, Action, Platformer",Super Mario World: Super Mario Advance 2,Game Boy Advance,"Nintendo, iQue","Feb 9, 2002","Feb 12, 2002",9.4,9.2
125,"Realtime Associates, Sculptured Software","Wrestling, Action, Fighting",WWF Raw,"Game Boy,GameGear,Genesis,Sega 32X,Super Nintendo","Accolade, LJN Ltd., Acclaim, Acclaim Japan",November 1994,"Feb 11, 2002",6.5,6.4
126,"PopTop Software, BreakAway Games, Various","Management, Strategy",Tropico,"Macintosh,PC","MacSoft, E-Frontier, Take-Two Interactive, ak tronic, Gathering","Apr 5, 2001","Feb 11, 2002",8.4,8.3
127,"Game Arts, GungHo",Role-Playing,Grandia II,"Dreamcast,PC,PlayStation 2","Game Arts, Ubisoft, eSofnet, GungHo, Frogster Interactive, Enix Corporation","Dec 6, 2000","Feb 8, 2002 ",7.4,8.5
128,Sonic Team,"2D, Action, Platformer",Sonic Advance,"Android,Game Boy Advance,N-Gage","Sega, THQ, Gradiente","Feb 3, 2002","Feb 8, 2002 ",7.9,7.9
129,Capcom,"3D, Platformer, Action",Maximo: Ghosts to Glory,PlayStation 2,Capcom,"Feb 11, 2002","Feb 8, 2002 ",7.9,7.8
130,"Holistic Design, Inc.","Management, Strategy",Mall Tycoon,PC,"Take-Two Interactive, ak tronic","Feb 3, 2002","Feb 8, 2002 ",4.6,5.2
131,WildTangent,Action,Betty Bad,PC,WildTangent,"Jan 20, 2002","Feb 7, 2002 ",4.5,6.3
132,Palestar,Simulation,DarkSpace,PC,Got Game Entertainment,"Dec 20, 2001","Feb 7, 2002 ",7.2,7.6
133,"Stealth Studios, Bunkasha Publishing","Driving/Racing, Arcade",Wreckless: The Yakuza Missions,"GameCube,PlayStation 2,Xbox","Activision, Bunkasha Publishing","Feb 4, 2002","Feb 7, 2002 ",6.8,5.8
134,Jaleco Entertainment,"Action, Adventure",Nightcaster,Xbox,Microsoft Game Studios,"Jan 21, 2002","Feb 6, 2002 ",6.8,5.8
135,"Farsight Technologies, Konami","Sports, Team-Based, Football (American), Simulation",ESPN NFL PrimeTime 2002,"PC,PlayStation 2,Xbox",Konami,"Dec 2, 2001","Feb 6, 2002 ",4.7,5.6
136,Croteam,"3D, Action, First-Person, Shooter",Serious Sam: The Second Encounter,PC,"Gathering, CyberFront, Take-Two Interactive, Devolver Digital","Feb 4, 2002","Feb 5, 2002 ",9.1,8.7
137,Artificial Mind and Movement,"Action, 3D, Platformer","Monsters, Inc. Scream Team",PlayStation,"SCEE, SCEA, Tomy Corporation","Oct 30, 2001","Feb 5, 2002 ",5.4,6.6
138,High Voltage Software,"Simulation, Sports, Team-Based, Basketball",NBA Inside Drive 2002,Xbox,Microsoft Game Studios,"Jan 21, 2002","Feb 4, 2002 ",6.2,7.4
139,LucasArts,Simulation,Star Wars: Starfighter,"PC,PlayStation 2","LucasArts, Electronic Arts Victor, SCEA, Activision","Feb 19, 2001","Feb 1, 2002 ",6.7,7.6
140,Acclaim Studios Austin,"Simulation, Sports, Team-Based, Football (American)",NFL Quarterback Club 2002,"GameCube,PlayStation 2",Acclaim,"Sep 5, 2001","Feb 1, 2002 ",5.5,6.4
141,"Tiertex Design Studios, Pacific Coast Power & Light","Driving/Racing, Arcade",MX 2002 featuring Ricky Carmichael,"Game Boy Advance,PlayStation 2,Xbox",THQ,"Jul 3, 2001","Feb 1, 2002 ",7.1,7.7
